Registry_ID,Site name,Seed URL,Business area 1,Business area 2,Type,Owner,Description,URL status,Redirects to,Preservation status,ACT ID,AWS ID,Accession no,Crawl start date,Crawl frequency,Crawl depth,Licence Status,Notes
WAR590,"Learning and Teaching Conference 2022 | University of Edinburgh, The",https://blogs.ed.ac.uk/learning-teaching-conference-2022/,USG,Student Experience Services,Research activity,,Resources from the Learning and Teaching Conference 2022,Active,,Added to UKWA - AWS,,,,,Monthly,Capped,Umbrella - manual,
WAR591,"Learning and Teaching Conference 2023 | University of Edinburgh, The",https://blogs.ed.ac.uk/learning-teaching-conference-2023/,USG,Student Experience Services,Research activity,,Resources from the Learning and Teaching Conference 2023,Active,,Added to UKWA - AWS,,,,,Monthly,Capped,Umbrella - manual,
WAR592,"Public Informatics Course List | University of Edinburgh, The",https://course.inf.ed.ac.uk/,CSE,Engineering,School,,Links to individual pages for Informatics courses at the University of Edinburgh. ,Active,,TBD,,,,,,,Umbrella - auto,
WAR593,ARCHER | EPCC,https://cresta-project.eu/,CSE,UNKNOWN,Service,,"Supercomputing service that provided a capability resource to allow researchers to run simulations and calculations that require large numbers of processing cores working in a tightly-coupled, parallel fashion. The Service operated from November 2013 until February 2020 and was superseded by ARCHER2. This site is a mirror of archer.ac.uk.",Active,,TBD,,,,,,,Umbrella - manual,
WAR594,"CRFManager | Clinical Research Facility, Edinburgh",https://crfmanager.com/,CMVM,Edinburgh Medical School,Service,,A web-based resource management system primarily used for the administration of clinical research studies and other day-to-day aspects of facility management. ,Active,,TBD,,,,,,,Umbrella - manual,
WAR595,"Centre for Research on Families and Relationships Blog | University of Edinburgh, The",https://crfrblog.blogspot.co.uk/,CAHSS,Social & Political Sciences,Research activity,Lynn Jamieson,"Blog of the Centre for Research on Families and Relationships at the University of Edinburgh, active from 2008-2021.",Active,,TBD,,,,,,,Umbrella - manual,
WAR596,"Edinburgh University Cricket Club | University of Edinburgh, The",https://cricket.eusu.ed.ac.uk/,UNKNOWN,UNKNOWN,Student group,,,Extinct,,TBD,,,,,,,Umbrella - auto,
WAR597,"CMOS Sensors and Systems Group | University of Edinburgh, The",https://css.eng.ed.ac.uk/,CSE,Engineering,Research activity,Robert Henderson,Research group exploring the development of systems based on sensors implemented in standard CMOS process technologies.,Extinct,,TBD,,,,,,,Umbrella - auto,
WAR598,"Catholic Students Union (CSU) Edinburgh | University of Edinburgh, The",https://csu.eusa.ed.ac.uk/,UNKNOWN,UNKNOWN,Student group,,,Extinct,,TBD,,,,,,,Umbrella - auto,
WAR599,"Data and the Healthcare Revolution (DARE) | University of Edinburgh, The",https://dare.ed.ac.uk/,CAHSS,Social & Political Sciences,Research activity,Catherine Montgomery,"Research group exploring the intersection of data, care and learning in the era of data-driven transformations in healthcare.",Active,,TBD,,,,,,,Umbrella - auto,
